"","Day","temp_type","temp"
"628",210,"Mean",27
"629",210,"Min",22
"630",210,"Max",31
"631",211,"Mean",25
"632",211,"Min",20
"633",211,"Max",30
"634",212,"Mean",25
"635",212,"Min",16
"636",212,"Max",34
"637",213,"Mean",28
"638",213,"Min",19
"639",213,"Max",36
"640",214,"Mean",29
"641",214,"Min",19
"642",214,"Max",38
"643",215,"Mean",20
"644",215,"Min",13
"645",215,"Max",26
"646",216,"Mean",28
"647",216,"Min",20
"648",216,"Max",36
"649",217,"Mean",24
"650",217,"Min",14
"651",217,"Max",34
"652",218,"Mean",20
"653",218,"Min",13
"654",218,"Max",26
"655",219,"Mean",34
"656",219,"Min",24
"657",219,"Max",43
"658",220,"Mean",28
"659",220,"Min",14
"660",220,"Max",42
"661",221,"Mean",20
"662",221,"Min",12
"663",221,"Max",27
"664",222,"Mean",33
"665",222,"Min",25
"666",222,"Max",40
"667",223,"Mean",33
"668",223,"Min",29
"669",223,"Max",37
"670",224,"Mean",27
"671",224,"Min",25
"672",224,"Max",29
"673",225,"Mean",33
"674",225,"Min",26
"675",225,"Max",40
"676",226,"Mean",28
"677",226,"Min",22
"678",226,"Max",34
"679",227,"Mean",28
"680",227,"Min",16
"681",227,"Max",40
"682",228,"Mean",15
"683",228,"Min",8
"684",228,"Max",21
"685",229,"Mean",24
"686",229,"Min",16
"687",229,"Max",32
"688",230,"Mean",15
"689",230,"Min",4
"690",230,"Max",25
"691",231,"Mean",12
"692",231,"Min",3
"693",231,"Max",21
"694",232,"Mean",21
"695",232,"Min",14
"696",232,"Max",27
"697",233,"Mean",26
"698",233,"Min",19
"699",233,"Max",33
"700",234,"Mean",18
"701",234,"Min",8
"702",234,"Max",27
"703",235,"Mean",11
"704",235,"Min",2
"705",235,"Max",19
"706",236,"Mean",23
"707",236,"Min",13
"708",236,"Max",32
"709",237,"Mean",38
"710",237,"Min",32
"711",237,"Max",43
"712",238,"Mean",23
"713",238,"Min",8
"714",238,"Max",38
"715",239,"Mean",14
"716",239,"Min",4
